SAN JUAN COUNTY FREQUENCY LIST,,,,,,
"April 25, 2015",,,,,,,
VHF FREQUENCIES,,,,,,,
,FREQ,OFS,ID,CALL,TONE,PL/CTCSS,QTH/NOTES
1,146.7,-,RPT-11,N7JN,PL-131.8,TX-RX,SJCARS REPEATER 
2,146.1,+,REV-11,,PL-131.8,TX  ,SJCARS REVERSE 
3,146.7,,DIR-11,,PL-131.8,TX-RX,SJCARS DIRECT (SIMPLEX)
4,146.7,,CALL11,N7JN,PL-141.3,TX-RX,SJCARS CALLUP 
5,145.25,-,RPT-12,N7JN,,,SJCARS D-STAR REPEATER 
6,146.25,+,REV-12,,,,SJCARS D-STAR REVERSE 
7,145.25,,DIR-12,,,,SJCARS D-STAR  SIMPLEX
,,,,,,,
10,146.52,,TAC-10,,PL-131.8,TX,NATIONAL SIMPLEX 
11,144.31,,TAC-11,,PL-131.8,TX,
12,146.5,,TAC-12,,PL-131.8,TX,repeater channel 8 output
13,146.54,,TAC-13,,PL-131.8,TX,"Whatcom, King, Island, Blaine"
14,145.53,,TAC-14,,PL-131.8,TX,
15,146.42,,TAC-15,,PL-131.8,TX,repeater channel 2 output
16,147.5,,TAC-16,,PL-131.8,TX,Stanwood-Camano Is. ****
17,147.4,,TAC-17,,PL-131.8,TX,repeater channel 1 input
18,146.46,,TAC-18,,PL-103.5,TX,STATEWIDE PRIMARY **
19,146.48,,TAC-19,,PL-103.5,TX,STATEWIDE ALTERNATE ***
,,,,,,,
30,144.99,,NET-11,AIRMAIL,,,PACKET SJCARS NET
31,144.95,,NET-12,AIRMAIL,,,
32,145.63,,NET-13,AIRMAIL,,,
33,145.69,,NET-14,RMS PKT,,,N7NIX-10
34,144.97,,NET-15,AIRMAIL,,,
35,144.91,,NET-16,AIRMAIL,,,
36,144.93,,NET-17,AIRMAIL,,,
37,145.61,,NET-18,AIRMAIL,,,
,,,,,,,
50,145.13,-,PT-ANG,WF7W,PL-100.0,,PORT ANGELES 
51,145.19,-,LYMAN1,N7GDE,PL 127.3,,Lyman Hill
52,145.23,-,SUMAS,W7BPD,PL-103.5,,SUMAS MT. 
53,146.62,-,GOLD11,WW7RA,PL-103.5,,GOLD MOUNTAIN
,,,,,Unusable due to Cdn on 146.610 PL 110.9,,
54,146.74,-,CONY11,K7SKW,PL-103.5,,MT. CONSTITUTION 
55,,,,,,,DECOMISSIONED
56,146.86,-,OAK-HB,W7AVM,PL-127.3,,OAK HARBOR 
57,146.92,-,GRANIT,WA7DEM,PL-123.0,,Granite Falls
58,147.16,+,KING,K7SKW,PL-103.5,,KING MT. IRLP-3276
,,,,,,,
220 MHZ FREQUENCIES,,,,,,,
,FREQ,OFS,ID,CALL,TONE,PL/CTCSS,QTH/NOTES
1,224.48,-,RPT-21,N7JN,103.5,TX-RX,CONNIE REPEATER 
2,222.88,+,REV-21,N7JN,103.5,TX  ,REVERSE  
3,224.48,,DIR-21,,103.5,TX-RX,DIRECT (SIMPLEX) 
10,223.5,,TAC-20,,PL-67,TX,NATIONAL SIMPLEX
11,223.48,,TAC-21,,PL-67,TX,
12,223.52,,TAC-22,,PL-67,TX,
13,222.4,,TAC-23,,PL-67,TX,
14,224,,TAC-24,,PL-67,TX,
15,223.42,,TAC-25,,PL-103.5,TX,STATEWIDE PRIMARY 
16,223.44,,TAC-26,,PL-103.5,TX,STATEWIDE ALTERNATE 
30,223.78,,NET-21,RMS PKT,,,N7JN-10/DIGI/KF7FIT
31,223.66,,NET-22,AIRMAIL,,,
32,223.4,,NET-23,AIRMAIL,,,
33,223.62,,NET-24,AIRMAIL,,,
,,,,,,,
50,223.86,,MED-21,W7MBY,PL-103.5,TX ,HOSPITAL NET REPEATER
51,224.12,-,TIGRMT,K7LED,PL-103.5,TX ,
52,224.24,-,BLYN,N7NFY,PL-103.5,TX ,
53,224.3,-,VNCUVR,VE7RPT,CS *,,
54,224.5,-,VICTRIA,VE7RGP,CS *,,
55,224.6,-,BRNBY21,VE7NYE,PL-127.3,TX ,
56,224.66,-,GOLD-21,W7UFI,PL-103.5,TX ,Gold Mt.
57,224.78,-,LYMN-21,N7IPB,PL-103.5,TX ,Lyman Hill
58,224.86,-,KING21,N7FYU,PL-103.5,TX ,
59,224.88,-,MAPLRIG,VE7RMR,CS *,,
60,224.92,-,SURREY,VE7IFI,CS *,,
61,224.96,-,BRNABY22,VE7VYL,CS *,,
62,224.54,-,VUE-21,WA6MPG,PL-67,TX,VUSARIO
63,224.16,-,LOOK-21,NC7Q,PL-156.7,TX,HOSPITAL LINK TO LOOK-42
UHF FREQUENCIES,,,,,,,
,FREQ,OFS,ID,CALL,TONE,PL/CTCSS,QTH/NOTES
,,,,,,,
101,443.45,+,RPT-41,N7JN,PL-103.5,TX-RX.,SJCARS REPEATER  
102,448.45,-,REV-41,N7JN,PL-103.5,TX,REVERSE   
103,443.45,,DIR-41,,PL-103.5,TX-RX.,DIRECT (SIMPLEX) 
104,442.4625,+5 MHz,RPT-42,N7JN,,,D-STAR REPEATER
105,447.4625,-5 MHz,REV-42,,,,D-STAR REPEATER
106,442.4625,,DIR-42,N7JN,,,D-STAR REPEATER
,,,,,,,
110,446,,TAC-40,,PL-156.7,TX,NATIONAL SIMPLEX  
111,446.5,,TAC-41,,PL-156.7,TX,
112,441,,TAC-42,,PL-156.7,TX,
113,441.5,,TAC-43,,PL-156.7,TX,
114,445.825,,TAC-44,,PL-103.5,TX,STATEWIDE PRIMARY
115,445.8,,TAC-45,,PL-103.5,TX,STATEWIDE ALTERNATE 
,,,,,,,
131,441.5,,NET-41,AIRMAIL,,,PACKET  SHARED C/ VOICE
132,445,,NET-42,AIRMAIL,,,
133,439.9,,NET-43,AIRMAIL,,,
134,439.95,,NET-44,AIRMAIL,,,
,,,,,,,
140,442.4,+,BLAINE,W7UMH,PL-107.2,TX,LYMAN   
141,442.8,+,LYMN-41,N7NFY,PL-123,TX,Lyman Hill
142,443.75,+,SQAL-41,WA7ZWG,PL-103.5,TX,Squalicum Mt.
143,444.05,+,CONY41,K7SKW,PL-103.5,TX,MT.  CONSTITUTION. 
144,444.3,+,BUCK42,WA7WKT,PL-103.5,TX,OP'S-1  ALTERNATE 
145,444.5,+,OPS-1,WA7ZUS,PL-103.5,TX,"OPS-1 PRIMARY,  LYMAN "
146,444.775,+,PT-ANG,KJ7XE,PL-103.5,TX,PORT  ANGELES 
147,442.25,+,LOOK42,NC7Q,PL-156.7,TX,HOSPITAL LINK TO LOOK-21
148,443.475,+,LOPZ41,KD7KAB,PL-162.2,TX,Lopez
149,444.925,+,SURV41,VE7RWS,Pl-100,TX,Survey Mt.
150,441.95,+,BUCK43,K5IN,PL-97.4,TX,Buck Mt - 220 intertie
,,,,,,,
,,,,,,,
* CS = Carrier Squelch (no tone),,,,,,,
** Repeater 5 output,,,,,,,
*** Repeater channel 7 output,,,,,,,
**** repeater channel 8 output,,,,,,,
